x y spin
1 1 -0.046086
1 2 0.074024
2 1 0.206200
2 2 -0.194046
3 1 -0.290594
3 2 0.290056
4 1 0.317699
4 2 -0.319055
5 1 -0.297709
5 2 0.296817
6 1 0.220239
6 2 -0.210803
7 1 -0.068438
7 2 0.094050
