x y charge
1 1 0.979763
1 2 0.979764
1 3 0.979763
1 4 0.979764
2 1 0.934163
2 2 0.934165
2 3 0.934162
2 4 0.934164
3 1 0.883103
3 2 0.883105
3 3 0.883101
3 4 0.883103
4 1 0.844101
4 2 0.844102
4 3 0.844099
4 4 0.844101
5 1 0.828350
5 2 0.828350
5 3 0.828349
5 4 0.828354
6 1 0.832134
6 2 0.832134
6 3 0.832133
6 4 0.832138
7 1 0.854432
7 2 0.854424
7 3 0.854414
7 4 0.854420
8 1 0.883242
8 2 0.883227
8 3 0.883211
8 4 0.883213
9 1 0.895288
9 2 0.895273
9 3 0.895257
9 4 0.895257
10 1 0.879425
10 2 0.879417
10 3 0.879407
10 4 0.879412
11 1 0.851959
11 2 0.851959
11 3 0.851958
11 4 0.851968
12 1 0.834147
12 2 0.834150
12 3 0.834157
12 4 0.834170
13 1 0.834142
13 2 0.834146
13 3 0.834156
13 4 0.834169
14 1 0.851960
14 2 0.851955
14 3 0.851958
14 4 0.851966
15 1 0.879440
15 2 0.879423
15 3 0.879416
15 4 0.879416
16 1 0.895306
16 2 0.895285
16 3 0.895272
16 4 0.895267
17 1 0.883259
17 2 0.883243
17 3 0.883236
17 4 0.883235
18 1 0.854459
18 2 0.854456
18 3 0.854460
18 4 0.854465
19 1 0.831909
19 2 0.831901
19 3 0.831902
19 4 0.831903
20 1 0.828017
20 2 0.828013
20 3 0.828015
20 4 0.828018
21 1 0.843796
21 2 0.843794
21 3 0.843800
21 4 0.843800
22 1 0.882935
22 2 0.882933
22 3 0.882939
22 4 0.882937
23 1 0.934140
23 2 0.934136
23 3 0.934139
23 4 0.934136
24 1 0.979773
24 2 0.979771
24 3 0.979772
24 4 0.979771
