x1 y1 x2 y2 pair
5 4 6 4 -7.837986e-03
6 4 7 4 -5.479691e-03
7 4 8 4 -2.338105e-03
8 4 9 4 -1.832583e-03
9 4 10 4 -5.166455e-03
10 4 11 4 -8.756354e-03
11 4 12 4 -1.341006e-02
12 4 13 4 -1.644810e-02
13 4 14 4 -1.986052e-02
14 4 15 4 -2.212491e-02
15 4 16 4 -2.346027e-02
16 4 17 4 -2.437997e-02
17 4 18 4 -2.328750e-02
18 4 19 4 -2.161497e-02
19 4 20 4 -1.895562e-02
20 4 21 4 -1.531779e-02
21 4 22 4 -1.206686e-02
22 4 23 4 -7.742701e-03
23 4 24 4 -5.485638e-03
24 4 25 4 -3.992138e-03
25 4 26 4 -6.491254e-03
26 4 27 4 -1.116964e-02
27 4 28 4 -1.344086e-02
28 4 29 4 -1.937457e-02
29 4 30 4 -1.822838e-02
30 4 31 4 -2.404164e-02
31 4 32 4 -1.704514e-01
