x y spin
1 1 -0.005890
1 2 0.005892
1 3 -0.005887
1 4 0.005878
2 1 0.004958
2 2 -0.004953
2 3 0.004946
2 4 -0.004940
3 1 -0.008094
3 2 0.008089
3 3 -0.008081
3 4 0.008071
4 1 0.003185
4 2 -0.003181
4 3 0.003176
4 4 -0.003172
5 1 0.000136
5 2 -0.000139
5 3 0.000145
5 4 -0.000147
6 1 -0.005606
6 2 0.005605
6 3 -0.005602
6 4 0.005599
7 1 0.007339
7 2 -0.007338
7 3 0.007334
7 4 -0.007332
8 1 -0.008965
8 2 0.008955
8 3 -0.008944
8 4 0.007337
9 1 0.005686
9 2 -0.005718
9 3 0.005752
9 4 -0.005782
10 1 -0.003449
10 2 0.003471
10 3 -0.003498
10 4 0.003517
11 1 -0.000906
11 2 0.000900
11 3 -0.000891
11 4 0.000882
12 1 0.005285
12 2 -0.005300
12 3 0.005311
12 4 -0.005320
13 1 -0.009371
13 2 0.009406
13 3 -0.009443
13 4 0.009470
14 1 0.010485
14 2 -0.010531
14 3 0.010579
14 4 -0.010618
15 1 -0.008539
15 2 0.008583
15 3 -0.008628
15 4 0.008665
16 1 0.003219
16 2 -0.003241
16 3 0.003263
16 4 -0.003282
17 1 0.003062
17 2 -0.003080
17 3 0.003097
17 4 -0.003113
18 1 -0.008523
18 2 0.008571
18 3 -0.008623
18 4 0.008667
19 1 0.010588
19 2 -0.010647
19 3 0.010708
19 4 -0.010758
20 1 -0.009538
20 2 0.009585
20 3 -0.009634
20 4 0.009673
21 1 0.005331
21 2 -0.005352
21 3 0.005377
21 4 -0.005395
22 1 -0.000829
22 2 0.000832
22 3 -0.000831
22 4 0.000832
23 1 -0.003766
23 2 0.003781
23 3 -0.003799
23 4 0.003814
24 1 0.006107
24 2 -0.006121
24 3 0.006144
24 4 -0.006159
25 1 -0.007834
25 2 0.007848
25 3 -0.007868
25 4 0.007883
26 1 0.006621
26 2 -0.006626
26 3 0.006639
26 4 -0.006645
27 1 -0.005131
27 2 0.005135
27 3 -0.005142
27 4 0.005146
28 1 0.000335
28 2 -0.000334
28 3 0.000332
28 4 -0.000331
29 1 0.002619
29 2 -0.002622
29 3 0.002625
29 4 -0.002628
30 1 -0.006918
30 2 0.006925
30 3 -0.006932
30 4 0.006936
31 1 0.004248
31 2 -0.004253
31 3 0.004258
31 4 -0.004263
32 1 -0.005068
32 2 0.005075
32 3 -0.005080
32 4 0.005079
