x y charge
1 1 0.978160
1 2 0.968162
1 3 0.973814
1 4 0.977557
1 5 0.975607
1 6 0.975570
2 1 0.907927
2 2 0.908655
2 3 0.927220
2 4 0.923254
2 5 0.934348
2 6 0.931953
3 1 0.873762
3 2 0.884808
3 3 0.884926
3 4 0.869662
3 5 0.882190
3 6 0.885678
4 1 0.855654
4 2 0.843332
4 3 0.842378
4 4 0.847004
4 5 0.845352
4 6 0.845602
5 1 0.851065
5 2 0.834786
5 3 0.845367
5 4 0.834592
5 5 0.838649
5 6 0.824008
6 1 0.844484
6 2 0.835193
6 3 0.845238
6 4 0.823933
6 5 0.830387
6 6 0.833338
7 1 0.867929
7 2 0.856380
7 3 0.859823
7 4 0.860130
7 5 0.846484
7 6 0.860494
8 1 0.891132
8 2 0.892376
8 3 0.880707
8 4 0.876706
8 5 0.878507
8 6 0.884861
9 1 0.894473
9 2 0.887693
9 3 0.885247
9 4 0.892012
9 5 0.893633
9 6 0.890617
10 1 0.871323
10 2 0.868130
10 3 0.867493
10 4 0.881992
10 5 0.857263
10 6 0.879198
11 1 0.865595
11 2 0.855140
11 3 0.851664
11 4 0.858373
11 5 0.849392
11 6 0.855512
12 1 0.841063
12 2 0.854682
12 3 0.844971
12 4 0.836804
12 5 0.848163
12 6 0.836913
13 1 0.835580
13 2 0.847479
13 3 0.845357
13 4 0.855670
13 5 0.846206
13 6 0.855635
14 1 0.844816
14 2 0.860831
14 3 0.862771
14 4 0.863097
14 5 0.864454
14 6 0.847416
15 1 0.870257
15 2 0.881210
15 3 0.878754
15 4 0.882423
15 5 0.874582
15 6 0.875748
16 1 0.887602
16 2 0.895053
16 3 0.902943
16 4 0.898190
16 5 0.901203
16 6 0.891234
17 1 0.879492
17 2 0.885821
17 3 0.887906
17 4 0.901000
17 5 0.891308
17 6 0.892484
18 1 0.873182
18 2 0.868348
18 3 0.874432
18 4 0.873343
18 5 0.872063
18 6 0.869165
19 1 0.849706
19 2 0.853400
19 3 0.850744
19 4 0.839994
19 5 0.852014
19 6 0.853395
20 1 0.831413
20 2 0.849409
20 3 0.854074
20 4 0.839829
20 5 0.854895
20 6 0.831172
21 1 0.856104
21 2 0.857498
21 3 0.854417
21 4 0.855844
21 5 0.847991
21 6 0.836354
22 1 0.875688
22 2 0.864532
22 3 0.873556
22 4 0.869276
22 5 0.861121
22 6 0.862713
23 1 0.880602
23 2 0.877965
23 3 0.878303
23 4 0.873153
23 5 0.892163
23 6 0.866741
24 1 0.881433
24 2 0.886310
24 3 0.877583
24 4 0.884520
24 5 0.891997
24 6 0.882894
25 1 0.857002
25 2 0.869923
25 3 0.877557
25 4 0.866358
25 5 0.889810
25 6 0.886775
26 1 0.862151
26 2 0.848226
26 3 0.865817
26 4 0.867986
26 5 0.848008
26 6 0.868007
27 1 0.835838
27 2 0.835168
27 3 0.840365
27 4 0.839619
27 5 0.847264
27 6 0.842591
28 1 0.831072
28 2 0.848173
28 3 0.849637
28 4 0.836680
28 5 0.852184
28 6 0.854597
29 1 0.849957
29 2 0.860697
29 3 0.865426
29 4 0.854187
29 5 0.854960
29 6 0.860885
30 1 0.892847
30 2 0.898442
30 3 0.889157
30 4 0.889395
30 5 0.885048
30 6 0.878409
31 1 0.933353
31 2 0.924667
31 3 0.931374
31 4 0.944339
31 5 0.945708
31 6 0.938436
32 1 0.980407
32 2 0.983998
32 3 0.977298
32 4 0.979879
32 5 0.983791
32 6 0.984186
