x y spin
1 1 -0.412172
1 2 0.410572
1 3 -0.403155
1 4 0.402779
1 5 -0.403350
1 6 0.398723
2 1 0.238118
2 2 -0.250754
2 3 0.309591
2 4 -0.305939
2 5 0.318384
2 6 -0.314828
3 1 -0.163523
3 2 0.184651
3 3 -0.196709
3 4 0.171436
3 5 -0.218867
3 6 0.196184
4 1 0.101675
4 2 -0.103637
4 3 0.093218
4 4 -0.093528
4 5 0.095831
4 6 -0.116299
5 1 -0.027906
5 2 -0.011559
5 3 -0.023851
5 4 0.049908
5 5 -0.012594
5 6 -0.010407
6 1 -0.030083
6 2 0.056130
6 3 -0.022896
6 4 0.057974
6 5 -0.089192
6 6 0.067277
7 1 0.145961
7 2 -0.099545
7 3 0.112114
7 4 -0.113074
7 5 0.130913
7 6 -0.142354
8 1 -0.220555
8 2 0.203439
8 3 -0.186762
8 4 0.176846
8 5 -0.209060
8 6 0.216949
9 1 0.224491
9 2 -0.221237
9 3 0.222926
9 4 -0.224365
9 5 0.216422
9 6 -0.223762
10 1 -0.180674
10 2 0.171155
10 3 -0.188576
10 4 0.183868
10 5 -0.122838
10 6 0.207160
11 1 0.118601
11 2 -0.115382
11 3 0.125818
11 4 -0.059831
11 5 0.029395
11 6 -0.105953
12 1 -0.038194
12 2 0.052715
12 3 -0.036842
12 4 -0.020811
12 5 0.021353
12 6 0.023520
13 1 0.004300
13 2 0.004386
13 3 -0.033785
13 4 0.067034
13 5 -0.112504
13 6 0.081286
14 1 0.093872
14 2 -0.069551
14 3 0.082494
14 4 -0.146610
14 5 0.159444
14 6 -0.097161
15 1 -0.125898
15 2 0.162848
15 3 -0.182650
15 4 0.189569
15 5 -0.191898
15 6 0.135823
16 1 0.196160
16 2 -0.228150
16 3 0.227177
16 4 -0.235492
16 5 0.195994
16 6 -0.196056
17 1 -0.187607
17 2 0.183064
17 3 -0.211275
17 4 0.211062
17 5 -0.211572
17 6 0.202960
18 1 0.106760
18 2 -0.143629
18 3 0.134754
18 4 -0.176839
18 5 0.184806
18 6 -0.183007
19 1 -0.056728
19 2 0.051835
19 3 -0.093591
19 4 0.063818
19 5 -0.093437
19 6 0.087244
20 1 0.007323
20 2 0.016650
20 3 0.004703
20 4 0.042170
20 5 -0.010159
20 6 -0.051805
21 1 0.091145
21 2 -0.043908
21 3 0.099413
21 4 -0.069744
21 5 0.101431
21 6 -0.065053
22 1 -0.146229
22 2 0.118185
22 3 -0.124139
22 4 0.131642
22 5 -0.140727
22 6 0.121811
23 1 0.163331
23 2 -0.140212
23 3 0.147439
23 4 -0.153627
23 5 0.178583
23 6 -0.162650
24 1 -0.209676
24 2 0.208005
24 3 -0.187100
24 4 0.155864
24 5 -0.249271
24 6 0.209683
25 1 0.139019
25 2 -0.130926
25 3 0.156544
25 4 -0.150298
25 5 0.197304
25 6 -0.200255
26 1 -0.092746
26 2 0.076270
26 3 -0.122048
26 4 0.123438
26 5 -0.086125
26 6 0.142347
27 1 0.035825
27 2 -0.005431
27 3 0.053637
27 4 -0.092393
27 5 0.062283
27 6 -0.047294
28 1 0.062229
28 2 -0.077711
28 3 0.032951
28 4 -0.002713
28 5 0.031829
28 6 -0.056378
29 1 -0.136059
29 2 0.129790
29 3 -0.121157
29 4 0.105696
29 5 -0.118307
29 6 0.153168
30 1 0.213653
30 2 -0.220741
30 3 0.191936
30 4 -0.190093
30 5 0.228874
30 6 -0.189672
31 1 -0.308488
31 2 0.312215
31 3 -0.291312
31 4 0.306975
31 5 -0.326257
31 6 0.306450
32 1 0.412707
32 2 -0.422026
32 3 0.416946
32 4 -0.416412
32 5 0.420448
32 6 -0.415056
