x y spin
1 1 -0.189481
1 2 0.153419
1 3 -0.082683
1 4 -0.011232
1 5 0.100041
1 6 -0.162733
1 7 0.191464
2 1 0.227365
2 2 -0.186308
2 3 0.102414
2 4 0.011441
2 5 -0.121495
2 6 0.197257
2 7 -0.230769
3 1 -0.235356
3 2 0.186565
3 3 -0.100747
3 4 -0.009231
3 5 0.116164
3 6 -0.197687
3 7 0.237745
4 1 0.247994
4 2 -0.193568
4 3 0.099834
4 4 0.004055
4 5 -0.110319
4 6 0.197949
4 7 -0.253406
5 1 -0.237161
5 2 0.180743
5 3 -0.089334
5 4 -0.003441
5 5 0.098536
5 6 -0.182332
5 7 0.237895
6 1 0.258307
6 2 -0.195828
6 3 0.118461
6 4 0.014147
6 5 -0.105730
6 6 0.222333
6 7 -0.267894
7 1 -0.286430
7 2 0.249124
7 3 -0.105394
7 4 0.033314
7 5 0.191216
7 6 -0.241789
7 7 0.282505
8 1 0.280202
8 2 -0.235862
8 3 0.202573
8 4 0.091121
8 5 -0.133978
8 6 0.260692
8 7 -0.288080
9 1 -0.280930
9 2 0.244260
9 3 -0.096515
9 4 0.029613
9 5 0.185137
9 6 -0.234947
9 7 0.277308
10 1 0.261642
10 2 -0.195000
10 3 0.116076
10 4 0.017756
10 5 -0.106957
10 6 0.222899
10 7 -0.269185
11 1 -0.248151
11 2 0.186556
11 3 -0.091207
11 4 -0.004381
11 5 0.104489
11 6 -0.189312
11 7 0.248803
12 1 0.240269
12 2 -0.180723
12 3 0.091292
12 4 0.003767
12 5 -0.099333
12 6 0.186815
12 7 -0.245061
13 1 -0.242033
13 2 0.181445
13 3 -0.093460
13 4 -0.004103
13 5 0.100879
13 6 -0.189120
13 7 0.243250
14 1 0.241955
14 2 -0.183929
14 3 0.094101
14 4 0.003980
14 5 -0.102116
14 6 0.188770
14 7 -0.243951
15 1 -0.242313
15 2 0.187239
15 3 -0.097050
15 4 -0.003373
15 5 0.103081
15 6 -0.192842
15 7 0.249160
16 1 0.245635
16 2 -0.187206
16 3 0.096967
16 4 0.002368
16 5 -0.102035
16 6 0.191609
16 7 -0.248703
17 1 -0.245567
17 2 0.187109
17 3 -0.097340
17 4 -0.001875
17 5 0.101094
17 6 -0.190888
17 7 0.248165
18 1 0.245593
18 2 -0.187517
18 3 0.097737
18 4 0.001401
18 5 -0.100687
18 6 0.190445
18 7 -0.248051
19 1 -0.245756
19 2 0.187821
19 3 -0.098158
19 4 -0.001060
19 5 0.100373
19 6 -0.190227
19 7 0.247882
20 1 0.245832
20 2 -0.188095
20 3 0.098453
20 4 0.000744
20 5 -0.100094
20 6 0.189969
20 7 -0.247791
21 1 -0.245916
21 2 0.188275
21 3 -0.098704
21 4 -0.000482
21 5 0.099810
21 6 -0.189757
21 7 0.247694
22 1 0.245958
22 2 -0.188418
22 3 0.098887
22 4 0.000255
22 5 -0.099580
22 6 0.189556
22 7 -0.247609
23 1 -0.245999
23 2 0.188529
23 3 -0.099039
23 4 -0.000088
