x y charge
1 1 0.959094
1 2 0.952674
1 3 0.943468
1 4 0.939002
1 5 0.943082
1 6 0.951794
1 7 0.958395
2 1 0.964973
2 2 0.957818
2 3 0.948184
2 4 0.943815
2 5 0.948509
2 6 0.957665
2 7 0.964316
3 1 0.936328
3 2 0.914956
3 3 0.890534
3 4 0.881953
3 5 0.894809
3 6 0.919053
3 7 0.937369
4 1 0.921939
4 2 0.887735
4 3 0.848589
4 4 0.834141
4 5 0.852669
4 6 0.891326
4 7 0.924596
5 1 0.916411
5 2 0.880363
5 3 0.842250
5 4 0.827780
5 5 0.844546
5 6 0.884454
5 7 0.918297
6 1 0.924229
6 2 0.884150
6 3 0.844264
6 4 0.825710
6 5 0.844785
6 6 0.895371
6 7 0.928788
7 1 0.936991
7 2 0.904574
7 3 0.845057
7 4 0.831262
7 5 0.867521
7 6 0.903575
7 7 0.936403
8 1 0.934251
8 2 0.899843
8 3 0.871955
8 4 0.840522
8 5 0.854189
8 6 0.912752
8 7 0.939338
9 1 0.931244
9 2 0.899923
9 3 0.841992
9 4 0.829129
9 5 0.863471
9 6 0.898424
9 7 0.930914
10 1 0.918719
10 2 0.877347
10 3 0.837544
10 4 0.820575
10 5 0.840114
10 6 0.889273
10 7 0.922429
11 1 0.907998
11 2 0.869662
11 3 0.831702
11 4 0.818006
11 5 0.834451
11 6 0.874390
11 7 0.910255
12 1 0.901870
12 2 0.866537
12 3 0.830443
12 4 0.817702
12 5 0.833196
12 6 0.869741
12 7 0.904160
13 1 0.900588
13 2 0.865704
13 3 0.830294
13 4 0.817181
13 5 0.832436
13 6 0.869149
13 7 0.901891
14 1 0.900094
14 2 0.865779
14 3 0.829676
14 4 0.816226
14 5 0.831818
14 6 0.868561
14 7 0.901334
15 1 0.899864
15 2 0.865567
15 3 0.828102
15 4 0.813794
15 5 0.829729
15 6 0.868125
15 7 0.902511
16 1 0.900572
16 2 0.865313
16 3 0.827831
16 4 0.813477
16 5 0.829162
16 6 0.867366
16 7 0.902026
17 1 0.900348
17 2 0.865178
17 3 0.827824
17 4 0.813360
17 5 0.828761
17 6 0.866833
17 7 0.901575
18 1 0.900256
18 2 0.865247
18 3 0.827849
18 4 0.813272
18 5 0.828528
18 6 0.866470
18 7 0.901315
19 1 0.900262
19 2 0.865336
19 3 0.827882
19 4 0.813188
19 5 0.828346
19 6 0.866249
19 7 0.901139
20 1 0.900280
20 2 0.865425
20 3 0.827911
20 4 0.813119
20 5 0.828201
20 6 0.866071
20 7 0.901031
21 1 0.900306
21 2 0.865494
21 3 0.827943
21 4 0.813076
21 5 0.828082
21 6 0.865926
21 7 0.900945
22 1 0.900323
22 2 0.865553
22 3 0.827978
22 4 0.813054
22 5 0.827994
22 6 0.865805
22 7 0.900874
23 1 0.900338
23 2 0.865603
23 3 0.828013
23 4 0.813043
23 5 0.827930
23 6 0.865716
23 7 0.900819
24 1 0.900354
24 2 0.865646
24 3 0.828042
24 4 0.813038
24 5 0.827890
24 6 0.865656
24 7 0.900784
25 1 0.900369
25 2 0.865678
25 3 0.828063
25 4 0.813037
25 5 0.827867
25 6 0.865623
25 7 0.900765
26 1 0.900381
26 2 0.865698
26 3 0.828077
26 4 0.813039
26 5 0.827857
26 6 0.865609
26 7 0.900760
27 1 0.900391
27 2 0.865708
27 3 0.828086
27 4 0.813049
27 5 0.827869
27 6 0.865620
27 7 0.900773
28 1 0.900407
28 2 0.865713
28 3 0.828093
28 4 0.813061
28 5 0.827892
28 6 0.865656
28 7 0.900801
29 1 0.900419
29 2 0.865715
29 3 0.828100
29 4 0.813090
29 5 0.827948
29 6 0.865724
29 7 0.900850
30 1 0.900433
30 2 0.865710
30 3 0.828116
30 4 0.813133
30 5 0.828026
30 6 0.865819
