x y spin
1 1 0.380599
1 2 -0.381277
2 1 -0.284190
2 2 0.287633
3 1 0.038255
3 2 -0.029271
4 1 0.241674
4 2 -0.237320
5 1 -0.373613
5 2 0.373470
