x1 y1 x2 y2 pair
1 1 2 1 -3.727998e-04
1 1 1 2 7.045646e-05
1 2 2 2 3.979448e-04
2 1 3 1 -7.969350e-04
2 1 2 2 -8.363129e-03
2 2 3 2 3.172569e-04
3 1 4 1 -1.665699e-03
3 1 3 2 2.862960e-03
3 2 4 2 -9.135199e-04
4 1 5 1 -8.846031e-04
4 1 4 2 1.082975e-02
4 2 5 2 -3.064385e-04
5 1 5 2 -9.895353e-04
