method,system,boundary,state,energy,error
DMET,2x2,PBC,BCS,-0.867853141,0.000774637
DMET,3x2,PBC,stripe 3,-0.858665937,3.73E-05
DMET,4x2,PBC,stripe 4,-0.858900992,4.06E-05
DMET,4x2_pi,"(PBC,APBC)",stripe 4,-0.858936196,0.000675324
DMET,5x2,PBC,stripe 5,-0.868359421,1.00E-05
DMET,6x2_pi,"(PBC,APBC)",stripe 6,-0.872467474,1.00E-05
DMET,7x2,PBC,stripe 7,-0.873625804,1.49E-05
DMET,8x2_pi,"(PBC,APBC)",stripe 8,-0.876670910192,7e-4
AFQMC,12x8,TABC,stripe 6,-0.8683961,9.82E-05
AFQMC,14x8,TABC,stripe 7,-0.8691946,9.82E-05
AFQMC,16x8,TABC,stripe 8,-0.8717991,9.82E-05
AFQMC,18x8,TABC,stripe 9,-0.8700976,1.01E-04
AFQMC,20x8,TABC,stripe 10,-0.8701958,1.04E-04
