x y charge
1 1 0.986307
1 2 0.983395
1 3 0.982883
1 4 0.986714
2 1 0.946845
2 2 0.951429
2 3 0.939900
2 4 0.950709
3 1 0.917335
3 2 0.909824
3 3 0.908914
3 4 0.904610
4 1 0.875240
4 2 0.878566
4 3 0.851865
4 4 0.880799
5 1 0.852649
5 2 0.860211
5 3 0.861268
5 4 0.845954
6 1 0.831436
6 2 0.839846
6 3 0.861219
6 4 0.835628
7 1 0.860626
7 2 0.867541
7 3 0.855061
7 4 0.867282
8 1 0.850800
8 2 0.861390
8 3 0.873965
8 4 0.864683
9 1 0.893201
9 2 0.891535
9 3 0.892698
9 4 0.888766
10 1 0.896734
10 2 0.899951
10 3 0.906074
10 4 0.898875
11 1 0.887025
11 2 0.889789
11 3 0.883599
11 4 0.876921
12 1 0.865380
12 2 0.876339
12 3 0.865439
12 4 0.850201
13 1 0.849922
13 2 0.854662
13 3 0.856590
13 4 0.848353
14 1 0.851151
14 2 0.848746
14 3 0.839587
14 4 0.857418
15 1 0.858893
15 2 0.860729
15 3 0.855791
15 4 0.860251
16 1 0.895502
16 2 0.870094
16 3 0.875264
16 4 0.872999
17 1 0.894259
17 2 0.883785
17 3 0.895543
17 4 0.900641
18 1 0.905271
18 2 0.891602
18 3 0.891334
18 4 0.893065
19 1 0.884056
19 2 0.883052
19 3 0.887630
19 4 0.870882
20 1 0.858687
20 2 0.851905
20 3 0.854245
20 4 0.866862
21 1 0.821807
21 2 0.838919
21 3 0.859407
21 4 0.849046
22 1 0.851949
22 2 0.838503
22 3 0.836538
22 4 0.852693
23 1 0.859917
23 2 0.853440
23 3 0.854261
23 4 0.861633
24 1 0.882566
24 2 0.865017
24 3 0.863901
24 4 0.871368
25 1 0.891660
25 2 0.882668
25 3 0.875520
25 4 0.888224
26 1 0.865709
26 2 0.881997
26 3 0.880799
26 4 0.869908
27 1 0.860961
27 2 0.852212
27 3 0.858709
27 4 0.859581
28 1 0.838008
28 2 0.848461
28 3 0.844447
28 4 0.843779
29 1 0.837230
29 2 0.839372
29 3 0.851206
29 4 0.814808
30 1 0.858358
30 2 0.846570
30 3 0.857464
30 4 0.859924
31 1 0.872362
31 2 0.871448
31 3 0.872993
31 4 0.878172
32 1 0.900650
32 2 0.899305
32 3 0.899199
32 4 0.900628
33 1 0.887756
33 2 0.886381
33 3 0.890151
33 4 0.879298
34 1 0.867856
34 2 0.868037
34 3 0.864924
34 4 0.863032
35 1 0.844975
35 2 0.840548
35 3 0.860717
35 4 0.857792
36 1 0.832854
36 2 0.828537
36 3 0.828295
36 4 0.828727
37 1 0.840316
37 2 0.843103
37 3 0.845120
37 4 0.841471
38 1 0.865139
38 2 0.861662
38 3 0.886404
38 4 0.874846
39 1 0.884298
39 2 0.891198
39 3 0.890192
39 4 0.870449
40 1 0.884341
40 2 0.890131
40 3 0.898885
40 4 0.868602
41 1 0.875562
41 2 0.869405
41 3 0.876006
41 4 0.882735
42 1 0.862489
42 2 0.839217
42 3 0.851442
42 4 0.860142
43 1 0.844580
43 2 0.849577
43 3 0.823185
43 4 0.835927
44 1 0.838527
44 2 0.851651
44 3 0.850838
44 4 0.856004
45 1 0.869888
45 2 0.855425
45 3 0.848078
45 4 0.851774
46 1 0.902387
46 2 0.908107
46 3 0.884558
46 4 0.898395
47 1 0.934333
47 2 0.945361
47 3 0.933140
47 4 0.958836
48 1 0.981564
48 2 0.985876
48 3 0.981083
48 4 0.988381
