x y spin
1 1 -0.423646
1 2 0.419207
1 3 -0.405372
1 4 0.418750
2 1 0.303283
2 2 -0.305459
2 3 0.310824
2 4 -0.318682
3 1 -0.204414
3 2 0.211745
3 3 -0.241126
3 4 0.232697
4 1 0.118730
4 2 -0.148486
4 3 0.132084
4 4 -0.150653
5 1 -0.027943
5 2 0.050674
5 3 -0.042930
5 4 0.053863
6 1 -0.036308
6 2 -0.014524
6 3 -0.026264
6 4 0.053994
7 1 0.094816
7 2 -0.079535
7 3 0.063473
7 4 -0.108807
8 1 -0.097914
8 2 0.128077
8 3 -0.117851
8 4 0.135788
9 1 0.170931
9 2 -0.159877
9 3 0.172045
9 4 -0.206184
10 1 -0.228973
10 2 0.229803
10 3 -0.197073
10 4 0.221799
11 1 0.185948
11 2 -0.166095
11 3 0.160805
11 4 -0.154955
12 1 -0.108239
12 2 0.100871
12 3 -0.092310
12 4 0.111823
13 1 0.041482
13 2 -0.042012
13 3 0.018869
13 4 -0.006731
14 1 0.007520
14 2 -0.038563
14 3 0.007906
14 4 -0.013950
15 1 -0.082285
15 2 0.051819
15 3 -0.073527
15 4 0.071976
16 1 0.155965
16 2 -0.136157
16 3 0.129701
16 4 -0.123638
17 1 -0.169131
17 2 0.179862
17 3 -0.222180
17 4 0.217876
18 1 0.195656
18 2 -0.190187
18 3 0.191343
18 4 -0.190550
19 1 -0.145263
19 2 0.151044
19 3 -0.170601
19 4 0.153071
20 1 0.075369
20 2 -0.067887
20 3 0.107144
20 4 -0.087224
21 1 -0.023896
21 2 0.022283
21 3 -0.001231
21 4 0.052625
22 1 -0.057025
22 2 0.060839
22 3 -0.056230
22 4 0.055994
23 1 0.090650
23 2 -0.124446
23 3 0.094035
23 4 -0.092072
24 1 -0.163593
24 2 0.167356
24 3 -0.129331
24 4 0.149773
25 1 0.189465
25 2 -0.191054
25 3 0.145752
25 4 -0.169008
26 1 -0.166393
26 2 0.139151
26 3 -0.161464
26 4 0.138134
27 1 0.096784
27 2 -0.073771
27 3 0.096942
27 4 -0.092532
28 1 -0.050786
28 2 0.024992
28 3 -0.080079
28 4 0.041642
29 1 -0.008428
29 2 0.045024
29 3 -0.014088
29 4 0.014667
30 1 0.054074
30 2 -0.063948
30 3 0.067575
30 4 -0.055473
31 1 -0.141212
31 2 0.172341
31 3 -0.132322
31 4 0.143160
32 1 0.207881
32 2 -0.218362
32 3 0.164604
32 4 -0.183315
33 1 -0.167959
33 2 0.200512
33 3 -0.181340
33 4 0.180206
34 1 0.129064
34 2 -0.103524
34 3 0.105316
34 4 -0.100748
35 1 -0.076283
35 2 0.052682
35 3 -0.042584
35 4 0.020401
36 1 -0.010884
36 2 0.008829
36 3 0.011213
36 4 -0.017238
37 1 0.069588
37 2 -0.085765
37 3 0.082209
37 4 -0.055177
38 1 -0.116649
38 2 0.137065
38 3 -0.133017
38 4 0.116182
39 1 0.177728
39 2 -0.181426
39 3 0.140345
39 4 -0.157949
40 1 -0.169448
40 2 0.160321
40 3 -0.189521
40 4 0.184485
41 1 0.108584
41 2 -0.122396
41 3 0.127216
41 4 -0.130946
42 1 -0.044700
42 2 0.070329
42 3 -0.052716
42 4 0.050105
43 1 0.006438
43 2 0.001201
43 3 0.004221
43 4 -0.002904
44 1 0.020816
44 2 -0.026030
44 3 0.069620
44 4 -0.067301
45 1 -0.108129
45 2 0.118224
45 3 -0.075718
45 4 0.094629
46 1 0.181285
46 2 -0.229572
46 3 0.173496
46 4 -0.199282
47 1 -0.266955
47 2 0.304846
47 3 -0.300912
47 4 0.321787
48 1 0.420046
48 2 -0.415950
48 3 0.394411
48 4 -0.411182
