x y charge
1 1 0.967889
1 2 0.967880
1 3 0.967881
1 4 0.967881
1 5 0.967898
1 6 0.967901
2 1 0.896721
2 2 0.896704
2 3 0.896664
2 4 0.896617
2 5 0.896622
2 6 0.896671
3 1 0.833139
3 2 0.833103
3 3 0.833066
3 4 0.833048
3 5 0.833039
3 6 0.833104
4 1 0.824850
4 2 0.824728
4 3 0.824709
4 4 0.824804
4 5 0.824889
4 6 0.824926
5 1 0.868918
5 2 0.868723
5 3 0.868740
5 4 0.868896
5 5 0.869041
5 6 0.869053
6 1 0.902207
6 2 0.902040
6 3 0.901961
6 4 0.901944
6 5 0.902034
6 6 0.902191
7 1 0.878005
7 2 0.877792
7 3 0.877640
7 4 0.877444
7 5 0.877450
7 6 0.877850
8 1 0.831689
8 2 0.831427
8 3 0.831348
8 4 0.831267
8 5 0.831322
8 6 0.831663
9 1 0.830848
9 2 0.830572
9 3 0.830468
9 4 0.830572
9 5 0.830826
9 6 0.830980
10 1 0.876537
10 2 0.876230
10 3 0.876242
10 4 0.876419
10 5 0.876636
10 6 0.876742
11 1 0.901874
11 2 0.901718
11 3 0.901712
11 4 0.901664
11 5 0.901671
11 6 0.901876
12 1 0.869520
12 2 0.869412
12 3 0.869182
12 4 0.869021
12 5 0.868995
12 6 0.869260
13 1 0.825004
13 2 0.824880
13 3 0.824794
13 4 0.824684
13 5 0.824693
13 6 0.824880
14 1 0.832339
14 2 0.832205
14 3 0.832175
14 4 0.832182
14 5 0.832271
14 6 0.832363
15 1 0.895770
15 2 0.895685
15 3 0.895675
15 4 0.895723
15 5 0.895799
15 6 0.895843
16 1 0.967556
16 2 0.967548
16 3 0.967537
16 4 0.967538
16 5 0.967538
16 6 0.967551
