x y spin
1 1 0.401631
1 2 -0.401621
1 3 0.401640
1 4 -0.401657
1 5 0.401693
1 6 -0.401685
2 1 -0.263145
2 2 0.263123
2 3 -0.263129
2 4 0.263070
2 5 -0.263116
2 6 0.263193
3 1 0.111194
3 2 -0.111244
3 3 0.111340
3 4 -0.111271
3 5 0.111184
3 6 -0.111212
4 1 0.055400
4 2 -0.055256
4 3 0.055113
4 4 -0.055150
4 5 0.055439
4 6 -0.055495
5 1 -0.183824
5 2 0.183547
5 3 -0.183556
5 4 0.183738
5 5 -0.183995
5 6 0.184035
6 1 0.236604
6 2 -0.236377
6 3 0.236345
6 4 -0.236384
6 5 0.236509
6 6 -0.236657
7 1 -0.195867
7 2 0.195562
7 3 -0.195478
7 4 0.195364
7 5 -0.195397
7 6 0.195800
8 1 0.075602
8 2 -0.075494
8 3 0.075660
8 4 -0.075847
8 5 0.075897
8 6 -0.075851
9 1 0.072857
9 2 -0.072644
9 3 0.072054
9 4 -0.071945
9 5 0.072363
9 6 -0.072607
10 1 -0.193815
10 2 0.193458
10 3 -0.193072
10 4 0.193303
10 5 -0.193804
10 6 0.193886
11 1 0.236585
11 2 -0.236357
11 3 0.236050
11 4 -0.236129
11 5 0.236337
11 6 -0.236492
12 1 -0.185493
12 2 0.185176
12 3 -0.184204
12 4 0.184198
12 5 -0.184327
12 6 0.184722
13 1 0.057163
13 2 -0.057028
13 3 0.056813
13 4 -0.056916
13 5 0.057069
13 6 -0.057212
14 1 0.109482
14 2 -0.109398
14 3 0.109389
14 4 -0.109419
14 5 0.109424
14 6 -0.109478
15 1 -0.262202
15 2 0.262101
15 3 -0.262015
15 4 0.262074
15 5 -0.262135
15 6 0.262174
16 1 0.401494
16 2 -0.401499
16 3 0.401468
16 4 -0.401451
16 5 0.401432
16 6 -0.401445
