x y charge
1 1 0.977253
1 2 0.976604
1 3 0.976251
1 4 0.976091
2 1 0.922172
2 2 0.930417
2 3 0.927217
2 4 0.926760
3 1 0.878554
3 2 0.876899
3 3 0.882163
3 4 0.876055
4 1 0.850072
4 2 0.853826
4 3 0.851844
4 4 0.851158
5 1 0.839861
5 2 0.841874
5 3 0.842397
5 4 0.841288
6 1 0.849321
6 2 0.841556
6 3 0.836425
6 4 0.847613
7 1 0.854715
7 2 0.853343
7 3 0.856971
7 4 0.854331
8 1 0.870820
8 2 0.864528
8 3 0.869192
8 4 0.868813
9 1 0.879133
9 2 0.876457
9 3 0.870040
9 4 0.871108
10 1 0.867370
10 2 0.866259
10 3 0.870040
10 4 0.863770
11 1 0.851635
11 2 0.855813
11 3 0.859389
11 4 0.852191
12 1 0.846726
12 2 0.845478
12 3 0.838048
12 4 0.848466
13 1 0.845495
13 2 0.851764
13 3 0.844126
13 4 0.847075
14 1 0.856422
14 2 0.854826
14 3 0.859292
14 4 0.852168
15 1 0.864318
15 2 0.872976
15 3 0.872116
15 4 0.872767
16 1 0.878391
16 2 0.882138
16 3 0.878506
16 4 0.878064
17 1 0.871551
17 2 0.868520
17 3 0.874369
17 4 0.866340
18 1 0.851661
18 2 0.854285
18 3 0.858102
18 4 0.856774
19 1 0.841705
19 2 0.842063
19 3 0.842467
19 4 0.845763
20 1 0.842956
20 2 0.845541
20 3 0.840672
20 4 0.847653
21 1 0.854210
21 2 0.859996
21 3 0.855504
21 4 0.858551
22 1 0.885926
22 2 0.889307
22 3 0.884052
22 4 0.882147
23 1 0.927536
23 2 0.932923
23 3 0.933157
23 4 0.933280
24 1 0.979482
24 2 0.979167
24 3 0.977988
24 4 0.977601
