x y spin
1 1 0.403372
1 2 -0.404936
1 3 0.408170
1 4 -0.404549
2 1 -0.274387
2 2 0.280231
2 3 -0.281671
2 4 0.284983
3 1 0.159532
3 2 -0.168008
3 3 0.162991
3 4 -0.161966
4 1 -0.078468
4 2 0.073848
4 3 -0.069463
4 4 0.070659
5 1 0.007765
5 2 -0.004958
5 3 0.005563
5 4 -0.001834
6 1 0.049829
6 2 -0.035658
6 3 0.034427
6 4 -0.040360
7 1 -0.083117
7 2 0.071055
7 3 -0.083160
7 4 0.081080
8 1 0.126159
8 2 -0.120608
8 3 0.125665
8 4 -0.119724
9 1 -0.144344
9 2 0.135517
9 3 -0.139314
9 4 0.138137
10 1 0.120602
10 2 -0.112947
10 3 0.119002
10 4 -0.117294
11 1 -0.059409
11 2 0.060851
11 3 -0.059455
11 4 0.074889
12 1 0.014165
12 2 -0.012840
12 3 0.013440
12 4 -0.023185
13 1 0.030021
13 2 -0.032211
13 3 0.030538
13 4 -0.028627
14 1 -0.073151
14 2 0.079308
14 3 -0.082121
14 4 0.075630
15 1 0.125500
15 2 -0.117650
15 3 0.129107
15 4 -0.126323
16 1 -0.150287
16 2 0.145702
16 3 -0.148292
16 4 0.139706
17 1 0.121482
17 2 -0.136118
17 3 0.136093
17 4 -0.132867
18 1 -0.083767
18 2 0.089798
18 3 -0.090477
18 4 0.080589
19 1 0.039836
19 2 -0.042230
19 3 0.036462
19 4 -0.039816
20 1 0.005355
20 2 -0.009460
20 3 0.016239
20 4 -0.014693
21 1 -0.079553
21 2 0.087778
21 3 -0.077906
21 4 0.078495
22 1 0.178832
22 2 -0.179864
22 3 0.169295
22 4 -0.167343
23 1 -0.285118
23 2 0.286315
23 3 -0.287858
23 4 0.288073
24 1 0.404733
24 2 -0.408301
24 3 0.407497
24 4 -0.408628
