x y spin
1 1 -0.181372
1 2 0.164915
1 3 -0.023059
1 4 -0.032643
1 5 0.140389
1 6 -0.176393
1 7 0.199265
2 1 0.220502
2 2 -0.167362
2 3 0.160746
2 4 0.141809
2 5 -0.142404
2 6 0.207854
2 7 -0.233539
3 1 -0.207263
3 2 0.190736
3 3 -0.073188
3 4 0.001047
3 5 0.173314
3 6 -0.187502
3 7 0.214857
4 1 0.253061
4 2 -0.181758
4 3 0.108677
4 4 -0.021023
4 5 -0.048188
4 6 0.232417
4 7 -0.261665
5 1 -0.232115
5 2 0.186917
5 3 -0.112914
5 4 0.030104
5 5 0.077814
5 6 -0.160383
5 7 0.237839
6 1 0.232264
6 2 -0.184802
6 3 0.105876
6 4 -0.008652
6 5 -0.080705
6 6 0.164070
6 7 -0.225113
7 1 -0.237521
7 2 0.184123
7 3 -0.095943
7 4 0.002861
7 5 0.091628
7 6 -0.178059
7 7 0.235654
8 1 0.237129
8 2 -0.182450
8 3 0.094806
8 4 0.001146
8 5 -0.094271
8 6 0.178562
8 7 -0.233663
9 1 -0.235985
9 2 0.181820
9 3 -0.096330
9 4 0.000442
9 5 0.094227
9 6 -0.179146
9 7 0.234421
10 1 0.237598
10 2 -0.182743
10 3 0.097107
10 4 -0.002055
10 5 -0.092960
10 6 0.179825
10 7 -0.236336
11 1 -0.235970
11 2 0.181493
11 3 -0.096426
11 4 0.002348
11 5 0.092341
11 6 -0.178602
11 7 0.234635
12 1 0.236378
12 2 -0.181481
12 3 0.096111
12 4 -0.001806
12 5 -0.092557
12 6 0.178672
12 7 -0.235061
13 1 -0.236344
13 2 0.181447
13 3 -0.095816
13 4 0.001365
13 5 0.093137
13 6 -0.179076
13 7 0.235181
14 1 0.236134
14 2 -0.181081
14 3 0.095490
14 4 -0.001088
14 5 -0.093281
14 6 0.179114
14 7 -0.235004
15 1 -0.236106
15 2 0.181019
15 3 -0.095362
15 4 0.000955
15 5 0.093506
15 6 -0.179333
15 7 0.235269
16 1 0.236152
16 2 -0.180810
16 3 0.095219
16 4 -0.000820
16 5 -0.093531
16 6 0.179479
16 7 -0.235262
17 1 -0.236056
17 2 0.180875
17 3 -0.095083
17 4 0.000743
17 5 0.093817
17 6 -0.179594
17 7 0.235504
18 1 0.236594
18 2 -0.181214
18 3 0.095535
18 4 -0.000426
18 5 -0.094204
18 6 0.180432
18 7 -0.235882
19 1 -0.236601
19 2 0.181808
19 3 -0.095633
19 4 0.000723
19 5 0.094939
19 6 -0.180647
19 7 0.236235
20 1 0.236859
20 2 -0.181076
20 3 0.096048
20 4 -0.000522
20 5 -0.094578
20 6 0.181313
20 7 -0.236122
21 1 -0.235818
21 2 0.180988
21 3 -0.094482
21 4 0.000324
21 5 0.094035
21 6 -0.178804
21 7 0.236619
22 1 0.237964
22 2 -0.179249
22 3 0.092664
22 4 -0.000288
22 5 -0.092961
22 6 0.179041
22 7 -0.235950
23 1 -0.246293
23 2 0.183328
23 3 -0.101576
23 4 -0.002219
23 5 0.094025
23 6 -0.194310
23 7 0.249660
24 1 0.267733
24 2 -0.223858
24 3 0.098621
24 4 -0.015300
24 5 -0.136415
24 6 0.205891
24 7 -0.264215
25 1 -0.274047
25 2 0.229143
25 3 -0.187432
25 4 -0.056865
25 5 0.110974
25 6 -0.247700
25 7 0.280039
26 1 0.287453
26 2 -0.260190
26 3 0.119105
26 4 -0.071646
26 5 -0.204729
26 6 0.241313
26 7 -0.281441
27 1 -0.268156
27 2 0.223759
27 3 -0.166769
27 4 -0.031399
27 5 0.103685
27 6 -0.233874
27 7 0.272560
28 1 0.249180
28 2 -0.205866
28 3 0.104943
28 4 -0.011448
28 5 -0.105857
28 6 0.180672
28 7 -0.242792
29 1 -0.250158
29 2 0.204774
29 3 -0.117949
29 4 0.017494
29 5 0.090104
29 6 -0.185913
29 7 0.250320
30 1 0.232852
30 2 -0.196733
30 3 0.125701
30 4 -0.025102
30 5 -0.079965
30 6 0.170003
30 7 -0.222926
31 1 -0.222575
31 2 0.195824
31 3 -0.130994
31 4 0.031248
31 5 0.077548
31 6 -0.166618
31 7 0.214391
32 1 0.186674
32 2 -0.163150
32 3 0.108133
32 4 -0.026925
32 5 -0.062662
32 6 0.136157
32 7 -0.178250
