x y charge
1 1 0.935579
1 2 0.915205
1 3 0.874629
1 4 0.868157
1 5 0.895488
1 6 0.920576
1 7 0.929946
2 1 0.917459
2 2 0.887672
2 3 0.886273
2 4 0.873927
2 5 0.866703
2 6 0.900429
2 7 0.926589
3 1 0.904887
3 2 0.886810
3 3 0.845112
3 4 0.839189
3 5 0.869614
3 6 0.889049
3 7 0.908449
4 1 0.914060
4 2 0.877676
4 3 0.840589
4 4 0.826215
4 5 0.845335
4 6 0.896200
4 7 0.920022
5 1 0.907063
5 2 0.874360
5 3 0.841413
5 4 0.825113
5 5 0.831500
5 6 0.869735
5 7 0.909026
6 1 0.901854
6 2 0.873316
6 3 0.838807
6 4 0.821282
6 5 0.831456
6 6 0.863260
6 7 0.897896
7 1 0.901346
7 2 0.870250
7 3 0.834521
7 4 0.819235
7 5 0.831723
7 6 0.865405
7 7 0.898493
8 1 0.899652
8 2 0.868041
8 3 0.832719
8 4 0.818924
8 5 0.832100
8 6 0.865827
8 7 0.897773
9 1 0.898553
9 2 0.866985
9 3 0.831966
9 4 0.817832
9 5 0.831547
9 6 0.865834
9 7 0.897684
10 1 0.898592
10 2 0.866760
10 3 0.831590
10 4 0.817265
10 5 0.830793
10 6 0.865502
10 7 0.897912
11 1 0.897923
11 2 0.866291
11 3 0.831402
11 4 0.817069
11 5 0.830333
11 6 0.864879
11 7 0.897167
12 1 0.897830
12 2 0.866109
12 3 0.831242
12 4 0.816967
12 5 0.830204
12 6 0.864693
12 7 0.897039
13 1 0.897704
13 2 0.865954
13 3 0.831052
13 4 0.816873
13 5 0.830254
13 6 0.864725
13 7 0.896983
14 1 0.897567
14 2 0.865785
14 3 0.830954
14 4 0.816883
14 5 0.830327
14 6 0.864791
14 7 0.896930
15 1 0.897554
15 2 0.865720
15 3 0.830911
15 4 0.816893
15 5 0.830408
15 6 0.864921
15 7 0.897061
16 1 0.897651
16 2 0.865735
16 3 0.830949
16 4 0.816968
16 5 0.830511
16 6 0.865079
16 7 0.897197
17 1 0.897824
17 2 0.865905
17 3 0.831038
17 4 0.817077
17 5 0.830704
17 6 0.865316
17 7 0.897473
18 1 0.898222
18 2 0.866247
18 3 0.831340
18 4 0.817278
18 5 0.831002
18 6 0.865825
18 7 0.897901
19 1 0.898572
19 2 0.866775
19 3 0.831836
19 4 0.817777
19 5 0.831571
19 6 0.866315
19 7 0.898299
20 1 0.898974
20 2 0.867085
20 3 0.832511
20 4 0.818595
20 5 0.832286
20 6 0.866939
20 7 0.898761
21 1 0.899651
21 2 0.867602
21 3 0.833041
21 4 0.819504
21 5 0.832969
21 6 0.867072
21 7 0.899728
22 1 0.902596
22 2 0.868430
22 3 0.833794
22 4 0.819977
22 5 0.833343
22 6 0.869062
22 7 0.902363
23 1 0.910579
23 2 0.873856
23 3 0.835491
23 4 0.820379
23 5 0.835947
23 6 0.875796
23 7 0.911077
24 1 0.923402
24 2 0.890764
24 3 0.840773
24 4 0.824147
24 5 0.846118
24 6 0.884557
24 7 0.922313
25 1 0.931691
25 2 0.898304
25 3 0.867436
25 4 0.836025
25 5 0.848801
25 6 0.905406
25 7 0.934159
26 1 0.940565
26 2 0.913657
26 3 0.853165
26 4 0.839863
26 5 0.874607
26 6 0.904385
26 7 0.936666
27 1 0.932825
27 2 0.899900
27 3 0.862796
27 4 0.832873
27 5 0.847865
27 6 0.901872
27 7 0.933506
28 1 0.927245
28 2 0.896343
28 3 0.851108
28 4 0.830933
28 5 0.846575
28 6 0.884519
28 7 0.923052
29 1 0.928809
29 2 0.898826
29 3 0.856742
29 4 0.835355
29 5 0.847389
29 6 0.885921
29 7 0.925503
30 1 0.938213
30 2 0.920578
30 3 0.896422
30 4 0.881898
30 5 0.887924
30 6 0.910799
30 7 0.933562
31 1 0.964554
31 2 0.958102
31 3 0.949412
31 4 0.944096
31 5 0.947515
31 6 0.957171
31 7 0.964598
32 1 0.959971
32 2 0.954252
32 3 0.945802
32 4 0.940967
32 5 0.944186
32 6 0.952849
32 7 0.959869
