x1 y1 x2 y2 pair
1 1 2 1 2.847911e-04
1 1 1 2 -1.150040e-04
1 2 2 2 2.857638e-04
2 1 3 1 -9.342271e-04
2 1 2 2 2.097842e-04
2 2 3 2 -9.328607e-04
3 1 4 1 2.906245e-04
3 1 3 2 2.050798e-04
3 2 4 2 2.919437e-04
4 1 4 2 -1.204775e-04
