x y spin
1 1 0.404598
1 2 -0.404599
1 3 0.404598
1 4 -0.404599
2 1 -0.268504
2 2 0.268510
2 3 -0.268503
2 4 0.268507
3 1 0.148753
3 2 -0.148761
3 3 0.148748
3 4 -0.148753
4 1 -0.053468
4 2 0.053473
4 3 -0.053458
4 4 0.053461
5 1 -0.007860
5 2 0.007860
5 3 -0.007866
5 4 0.007866
6 1 0.053032
6 2 -0.053034
6 3 0.053021
6 4 -0.053024
7 1 -0.102666
7 2 0.102662
7 3 -0.102633
7 4 0.102625
8 1 0.140286
8 2 -0.140266
8 3 0.140233
8 4 -0.140209
9 1 -0.140265
9 2 0.140238
9 3 -0.140213
9 4 0.140184
10 1 0.102625
10 2 -0.102603
10 3 0.102365
10 4 -0.102363
11 1 -0.052969
11 2 0.052964
11 3 -0.052977
11 4 0.052974
12 1 0.007905
12 2 -0.007904
12 3 0.007900
12 4 -0.007900
13 1 0.053422
13 2 -0.053418
13 3 0.053432
13 4 -0.053428
14 1 -0.148728
14 2 0.148722
14 3 -0.148735
14 4 0.148726
15 1 0.268484
15 2 -0.268479
15 3 0.268485
15 4 -0.268480
16 1 -0.404595
16 2 0.404594
16 3 -0.404595
16 4 0.404594
