x y charge
1 1 0.976477
1 2 0.976478
1 3 0.976477
1 4 0.976478
2 1 0.924808
2 2 0.924810
2 3 0.924807
2 4 0.924809
3 1 0.871030
3 2 0.871031
3 3 0.871027
3 4 0.871028
4 1 0.834091
4 2 0.834091
4 3 0.834087
4 4 0.834088
5 1 0.822590
5 2 0.822590
5 3 0.822589
5 4 0.822592
6 1 0.830979
6 2 0.830977
6 3 0.830975
6 4 0.830981
7 1 0.857149
7 2 0.857144
7 3 0.857140
7 4 0.857140
8 1 0.882899
8 2 0.882887
8 3 0.882877
8 4 0.882869
9 1 0.882894
9 2 0.882878
9 3 0.882869
9 4 0.882860
10 1 0.857150
10 2 0.857139
10 3 0.857072
10 4 0.857076
11 1 0.831033
11 2 0.831030
11 3 0.831033
11 4 0.831037
12 1 0.822683
12 2 0.822682
12 3 0.822684
12 4 0.822686
13 1 0.834165
13 2 0.834165
13 3 0.834168
13 4 0.834169
14 1 0.871073
14 2 0.871072
14 3 0.871076
14 4 0.871075
15 1 0.924822
15 2 0.924821
15 3 0.924823
15 4 0.924821
16 1 0.976480
16 2 0.976479
16 3 0.976479
16 4 0.976479
