x y charge
1 1 0.964290
1 2 0.964626
1 3 0.964444
1 4 0.963815
1 5 0.963485
1 6 0.963728
2 1 0.922498
2 2 0.922536
2 3 0.922392
2 4 0.921939
2 5 0.921788
2 6 0.921989
3 1 0.866432
3 2 0.865030
3 3 0.865703
3 4 0.867626
3 5 0.868727
3 6 0.868071
4 1 0.828431
4 2 0.826571
4 3 0.827509
4 4 0.830109
4 5 0.831691
4 6 0.830901
5 1 0.824090
5 2 0.823591
5 3 0.823365
5 4 0.823413
5 5 0.823679
5 6 0.824098
6 1 0.834982
6 2 0.835944
6 3 0.834649
6 4 0.832217
6 5 0.831137
6 6 0.832653
7 1 0.867957
7 2 0.868981
7 3 0.867917
7 4 0.865735
7 5 0.864721
7 6 0.866037
8 1 0.916368
8 2 0.916407
8 3 0.916275
8 4 0.916133
8 5 0.916048
8 6 0.916273
9 1 0.933085
9 2 0.933043
9 3 0.933020
9 4 0.932955
9 5 0.932939
9 6 0.933029
10 1 0.900987
10 2 0.900660
10 3 0.900710
10 4 0.900945
10 5 0.901174
10 6 0.901138
11 1 0.851020
11 2 0.849720
11 3 0.850333
11 4 0.852108
11 5 0.853118
11 6 0.852527
12 1 0.825988
12 2 0.824856
12 3 0.825246
12 4 0.826542
12 5 0.827411
12 6 0.827190
13 1 0.824198
13 2 0.824062
13 3 0.823566
13 4 0.823005
13 5 0.822940
13 6 0.823657
14 1 0.839759
14 2 0.840404
14 3 0.839415
14 4 0.837612
14 5 0.836895
14 6 0.838163
15 1 0.882355
15 2 0.882682
15 3 0.882196
15 4 0.881327
15 5 0.881010
15 6 0.881707
16 1 0.925313
16 2 0.925200
16 3 0.925181
16 4 0.925293
16 5 0.925327
16 6 0.925397
17 1 0.926315
17 2 0.926208
17 3 0.926197
17 4 0.926155
17 5 0.926192
17 6 0.926264
18 1 0.883163
18 2 0.882361
18 3 0.882657
18 4 0.883621
18 5 0.884220
18 6 0.883904
19 1 0.838800
19 2 0.837261
19 3 0.838012
19 4 0.840115
19 5 0.841362
19 6 0.840681
20 1 0.823603
20 2 0.822791
20 3 0.822895
20 4 0.823603
20 5 0.824220
20 6 0.824309
21 1 0.826829
21 2 0.827231
21 3 0.826355
21 4 0.824877
21 5 0.824321
21 6 0.825450
22 1 0.851405
22 2 0.852269
22 3 0.851195
22 4 0.849064
22 5 0.848161
22 6 0.849558
23 1 0.899816
23 2 0.899926
23 3 0.899652
23 4 0.899308
23 5 0.899213
23 6 0.899602
24 1 0.932632
24 2 0.932526
24 3 0.932546
24 4 0.932644
24 5 0.932679
24 6 0.932728
25 1 0.916844
25 2 0.916580
25 3 0.916651
25 4 0.916832
25 5 0.917010
25 6 0.916975
26 1 0.866717
26 2 0.865037
26 3 0.866020
26 4 0.868533
26 5 0.869938
26 6 0.868928
27 1 0.832713
27 2 0.830796
27 3 0.831886
27 4 0.834743
27 5 0.836456
27 6 0.835476
28 1 0.823946
28 2 0.823538
28 3 0.823289
28 4 0.823264
28 5 0.823529
28 6 0.823993
29 1 0.830596
29 2 0.831807
29 3 0.830217
29 4 0.827192
29 5 0.825820
29 6 0.827688
30 1 0.867392
30 2 0.868383
30 3 0.867247
30 4 0.864925
30 5 0.863899
30 6 0.865360
31 1 0.921378
31 2 0.921122
31 3 0.921256
31 4 0.921742
31 5 0.921920
31 6 0.921915
32 1 0.963424
32 2 0.963067
32 3 0.963403
32 4 0.964142
32 5 0.964406
32 6 0.964076
