x y charge
1 1 0.971125
1 2 0.969843
1 3 0.973249
1 4 0.971745
1 5 0.970716
1 6 0.971599
2 1 0.913452
2 2 0.917125
2 3 0.917918
2 4 0.918587
2 5 0.915556
2 6 0.913707
3 1 0.871051
3 2 0.869289
3 3 0.868973
3 4 0.871304
3 5 0.866087
3 6 0.867903
4 1 0.841813
4 2 0.843194
4 3 0.842187
4 4 0.840622
4 5 0.837048
4 6 0.838763
5 1 0.834018
5 2 0.833652
5 3 0.833110
5 4 0.833669
5 5 0.835178
5 6 0.832491
6 1 0.840507
6 2 0.840170
6 3 0.840758
6 4 0.843991
6 5 0.841391
6 6 0.841888
7 1 0.857240
7 2 0.847220
7 3 0.857046
7 4 0.853313
7 5 0.858758
7 6 0.856038
8 1 0.868083
8 2 0.869606
8 3 0.871496
8 4 0.873095
8 5 0.871471
8 6 0.871291
9 1 0.866736
9 2 0.870109
9 3 0.870522
9 4 0.869578
9 5 0.865896
9 6 0.864994
10 1 0.855278
10 2 0.853779
10 3 0.853579
10 4 0.854519
10 5 0.853336
10 6 0.853792
11 1 0.840057
11 2 0.842543
11 3 0.839101
11 4 0.836778
11 5 0.837892
11 6 0.841819
12 1 0.834976
12 2 0.833101
12 3 0.831133
12 4 0.833392
12 5 0.832578
12 6 0.834045
13 1 0.843283
13 2 0.843482
13 3 0.843285
13 4 0.845324
13 5 0.842502
13 6 0.839639
14 1 0.873113
14 2 0.870547
14 3 0.869243
14 4 0.871142
14 5 0.873368
14 6 0.866879
15 1 0.916356
15 2 0.919943
15 3 0.921219
15 4 0.913664
15 5 0.920922
15 6 0.920924
16 1 0.974730
16 2 0.975020
16 3 0.975319
16 4 0.973394
16 5 0.975040
16 6 0.973791
