x y charge
1 1 0.983971
1 2 0.984057
1 3 0.984021
1 4 0.983862
1 5 0.983790
1 6 0.983849
2 1 0.941093
2 2 0.941182
2 3 0.941119
2 4 0.940784
2 5 0.940692
2 6 0.940800
3 1 0.879899
3 2 0.878768
3 3 0.879304
3 4 0.880864
3 5 0.881756
3 6 0.881114
4 1 0.832975
4 2 0.830727
4 3 0.831980
4 4 0.835230
4 5 0.837050
4 6 0.835896
5 1 0.819062
5 2 0.817968
5 3 0.818225
5 4 0.819368
5 5 0.820210
5 6 0.820178
6 1 0.824736
6 2 0.825269
6 3 0.824186
6 4 0.822358
6 5 0.821655
6 6 0.822986
7 1 0.853265
7 2 0.854420
7 3 0.853080
7 4 0.850381
7 5 0.849201
7 6 0.850905
8 1 0.903540
8 2 0.903774
8 3 0.903407
8 4 0.902792
8 5 0.902575
8 6 0.903084
9 1 0.931030
9 2 0.931020
9 3 0.930950
9 4 0.930770
9 5 0.930663
9 6 0.930861
10 1 0.905375
10 2 0.904838
10 3 0.904999
10 4 0.905548
10 5 0.905999
10 6 0.905847
11 1 0.852344
11 2 0.849798
11 3 0.851275
11 4 0.855063
11 5 0.857145
11 6 0.855751
12 1 0.823097
12 2 0.820949
12 3 0.822090
12 4 0.825168
12 5 0.827049
12 6 0.826081
13 1 0.820613
13 2 0.820578
13 3 0.819893
13 4 0.819105
13 5 0.819014
13 6 0.819839
14 1 0.835334
14 2 0.836889
14 3 0.835027
14 4 0.831378
14 5 0.829703
14 6 0.831911
15 1 0.877463
15 2 0.878407
15 3 0.877317
15 4 0.875186
15 5 0.874296
15 6 0.875662
16 1 0.922688
16 2 0.922634
16 3 0.922541
16 4 0.922488
16 5 0.922432
16 6 0.922644
17 1 0.923473
17 2 0.923331
17 3 0.923313
17 4 0.923234
17 5 0.923282
17 6 0.923414
18 1 0.877150
18 2 0.875542
18 3 0.876334
18 4 0.878642
18 5 0.880001
18 6 0.879169
19 1 0.832560
19 2 0.829766
19 3 0.831430
19 4 0.835599
19 5 0.837974
19 6 0.836498
20 1 0.819673
20 2 0.818580
20 3 0.818806
20 4 0.819982
20 5 0.820931
20 6 0.820858
21 1 0.825210
21 2 0.826181
21 3 0.824721
21 4 0.822117
21 5 0.821024
21 6 0.822709
22 1 0.853939
22 2 0.855438
22 3 0.853780
22 4 0.850378
22 5 0.848816
22 6 0.850885
23 1 0.904229
23 2 0.904456
23 3 0.904048
23 4 0.903438
23 5 0.903202
23 6 0.903727
24 1 0.930576
24 2 0.930447
24 3 0.930464
24 4 0.930496
24 5 0.930507
24 6 0.930606
25 1 0.903792
25 2 0.903235
25 3 0.903398
25 4 0.904034
25 5 0.904489
25 6 0.904316
26 1 0.851487
26 2 0.849376
26 3 0.850524
26 4 0.853571
26 5 0.855274
26 6 0.854200
27 1 0.822929
27 2 0.821288
27 3 0.822954
27 4 0.824331
27 5 0.825281
27 6 0.825008
28 1 0.820085
28 2 0.820038
28 3 0.819397
28 4 0.818503
28 5 0.818265
28 6 0.819089
29 1 0.834889
29 2 0.835927
29 3 0.834634
29 4 0.832059
29 5 0.830911
29 6 0.832540
30 1 0.879772
30 2 0.880392
30 3 0.879766
30 4 0.878486
30 5 0.877958
30 6 0.878830
31 1 0.940042
31 2 0.939959
31 3 0.940005
31 4 0.940269
31 5 0.940312
31 6 0.940261
32 1 0.983643
32 2 0.983593
32 3 0.983634
32 4 0.983758
32 5 0.983788
32 6 0.983727
