x y spin
1 1 0.410931
1 2 -0.410974
1 3 0.410984
1 4 -0.410917
1 5 0.410914
1 6 -0.410920
2 1 -0.309432
2 2 0.309554
2 3 -0.309589
2 4 0.309084
2 5 -0.309074
2 6 0.309275
3 1 0.205258
3 2 -0.202880
3 3 0.204436
3 4 -0.207877
3 5 0.210035
3 6 -0.208668
4 1 -0.093579
4 2 0.086982
4 3 -0.092173
4 4 0.103137
4 5 -0.109215
4 6 0.104677
5 1 0.011081
5 2 -0.004449
5 3 0.010566
5 4 -0.023343
5 5 0.030366
5 6 -0.024950
6 1 0.063207
6 2 -0.068886
6 3 0.063166
6 4 -0.051367
6 5 0.045072
6 6 -0.050597
7 1 -0.147048
7 2 0.150435
7 3 -0.146738
7 4 0.139388
7 5 -0.135583
7 6 0.139680
8 1 0.231359
8 2 -0.231617
8 3 0.230867
8 4 -0.229963
8 5 0.229465
8 6 -0.230267
9 1 -0.267813
9 2 0.267662
9 3 -0.267617
9 4 0.267457
9 5 -0.267296
9 6 0.267614
10 1 0.233439
10 2 -0.232451
10 3 0.232928
10 4 -0.233890
10 5 0.234878
10 6 -0.234684
11 1 -0.141572
11 2 0.135089
11 3 -0.139720
11 4 0.149977
11 5 -0.155553
11 6 0.151646
12 1 0.049789
12 2 -0.040749
12 3 0.048466
12 4 -0.064828
12 5 0.073674
12 6 -0.066932
13 1 0.025991
13 2 -0.034221
13 3 0.026363
13 4 -0.009985
13 5 0.000978
13 6 -0.008385
14 1 -0.103033
14 2 0.109349
14 3 -0.102983
14 4 0.089724
14 5 -0.082609
14 6 0.089369
15 1 0.191388
15 2 -0.193487
15 3 0.190936
15 4 -0.186187
15 5 0.183813
15 6 -0.186687
16 1 -0.257520
16 2 0.257219
16 3 -0.257068
16 4 0.257250
16 5 -0.257116
16 6 0.257381
17 1 0.258526
17 2 -0.258300
17 3 0.258338
17 4 -0.258047
17 5 0.258153
17 6 -0.258505
18 1 -0.189328
18 2 0.185823
18 3 -0.187961
18 4 0.193160
18 5 -0.196319
18 6 0.194468
19 1 0.091760
19 2 -0.083148
19 3 0.089929
19 4 -0.104435
19 5 0.112330
19 6 -0.106573
20 1 -0.010789
20 2 0.001983
20 3 -0.009951
20 4 0.026643
20 5 -0.035798
20 6 0.028676
21 1 -0.063748
21 2 0.071233
21 3 -0.063980
21 4 0.048650
21 5 -0.040344
21 6 0.047608
22 1 0.147974
22 2 -0.152249
22 3 0.147759
22 4 -0.138478
22 5 0.133552
22 6 -0.138695
23 1 -0.232463
23 2 0.232754
23 3 -0.231895
23 4 0.230901
23 5 -0.230295
23 6 0.231176
24 1 0.267519
24 2 -0.267242
24 3 0.267290
24 4 -0.267340
24 5 0.267314
24 6 -0.267523
25 1 -0.231570
25 2 0.230618
25 3 -0.231027
25 4 0.232038
25 5 -0.232972
25 6 0.232787
26 1 0.141287
26 2 -0.136072
26 3 0.139745
26 4 -0.147913
26 5 0.152526
26 6 -0.149421
27 1 -0.052064
27 2 0.045458
27 3 -0.052733
27 4 0.061683
27 5 -0.066832
27 6 0.063412
28 1 -0.021469
28 2 0.026434
28 3 -0.021814
28 4 0.011992
28 5 -0.006469
28 6 0.010791
29 1 0.101075
29 2 -0.105387
29 3 0.101310
29 4 -0.092842
29 5 0.088138
29 6 -0.092641
30 1 -0.206229
30 2 0.207580
30 3 -0.206103
30 4 0.203403
30 5 -0.201888
30 6 0.203632
31 1 0.308480
31 2 -0.308315
31 3 0.308272
31 4 -0.308709
31 5 0.308652
31 6 -0.308558
32 1 -0.410823
32 2 0.410823
32 3 -0.410806
32 4 0.410850
32 5 -0.410836
32 6 0.410809
