x y charge
1 1 0.934133
1 2 0.934166
1 3 0.934157
1 4 0.934120
1 5 0.934116
1 6 0.934097
2 1 0.878423
2 2 0.878430
2 3 0.878274
2 4 0.878107
2 5 0.878073
2 6 0.878222
3 1 0.836833
3 2 0.836728
3 3 0.836598
3 4 0.836558
3 5 0.836620
3 6 0.836832
4 1 0.839236
4 2 0.838992
4 3 0.839017
4 4 0.839226
4 5 0.839448
4 6 0.839522
5 1 0.887143
5 2 0.886868
5 3 0.886897
5 4 0.887108
5 5 0.887315
5 6 0.887320
6 1 0.915613
6 2 0.915477
6 3 0.915383
6 4 0.915381
6 5 0.915448
6 6 0.915544
7 1 0.889230
7 2 0.889187
7 3 0.889002
7 4 0.888832
7 5 0.888828
7 6 0.889044
8 1 0.842305
8 2 0.842237
8 3 0.842097
8 4 0.842002
8 5 0.842046
8 6 0.842256
9 1 0.834758
9 2 0.834598
9 3 0.834559
9 4 0.834636
9 5 0.834920
9 6 0.835006
10 1 0.876218
10 2 0.875999
10 3 0.876005
10 4 0.876179
10 5 0.876359
10 6 0.876388
11 1 0.912356
11 2 0.912226
11 3 0.912181
11 4 0.912238
11 5 0.912342
11 6 0.912425
12 1 0.898972
12 2 0.898936
12 3 0.898787
12 4 0.898653
12 5 0.898662
12 6 0.898849
13 1 0.852394
13 2 0.852341
13 3 0.852183
13 4 0.852049
13 5 0.852061
13 6 0.852259
14 1 0.831839
14 2 0.831691
14 3 0.831623
14 4 0.831644
14 5 0.831731
14 6 0.831840
15 1 0.864270
15 2 0.864055
15 3 0.864051
15 4 0.864210
15 5 0.864381
15 6 0.864418
16 1 0.907245
16 2 0.907086
16 3 0.907064
16 4 0.907164
16 5 0.907294
16 6 0.907356
17 1 0.906960
17 2 0.906909
17 3 0.906783
17 4 0.906684
17 5 0.906710
17 6 0.906876
18 1 0.863757
18 2 0.863719
18 3 0.863551
18 4 0.863396
18 5 0.863399
18 6 0.863609
19 1 0.831778
19 2 0.831656
19 3 0.831565
19 4 0.831542
19 5 0.831605
19 6 0.831738
20 1 0.852879
20 2 0.852671
20 3 0.852657
20 4 0.852792
20 5 0.852951
20 6 0.852998
21 1 0.899395
21 2 0.899211
21 3 0.899204
21 4 0.899340
21 5 0.899493
21 6 0.899536
22 1 0.912297
22 2 0.912224
22 3 0.912124
22 4 0.912069
22 5 0.912117
22 6 0.912256
23 1 0.875855
23 2 0.875830
23 3 0.875654
23 4 0.875485
23 5 0.875481
23 6 0.875699
24 1 0.834834
24 2 0.834738
24 3 0.834617
24 4 0.834548
24 5 0.834587
24 6 0.834751
25 1 0.842913
25 2 0.842718
25 3 0.842686
25 4 0.842786
25 5 0.842926
25 6 0.842993
26 1 0.889643
26 2 0.889431
26 3 0.889437
26 4 0.889605
26 5 0.889784
26 6 0.889810
27 1 0.915557
27 2 0.915454
27 3 0.915382
27 4 0.915379
27 5 0.915462
27 6 0.915580
28 1 0.886971
28 2 0.886959
28 3 0.886751
28 4 0.886540
28 5 0.886503
28 6 0.886767
29 1 0.839470
29 2 0.839403
29 3 0.839195
29 4 0.838993
29 5 0.838970
29 6 0.839216
30 1 0.837328
30 2 0.837138
30 3 0.837092
30 4 0.837136
30 5 0.837262
30 6 0.837360
31 1 0.878830
31 2 0.878687
31 3 0.878726
31 4 0.878893
31 5 0.879047
31 6 0.879032
32 1 0.934426
32 2 0.934443
32 3 0.934451
32 4 0.934497
32 5 0.934503
32 6 0.934466
