x y spin
1 1 0.403639
1 2 -0.403627
1 3 0.403659
1 4 -0.403689
1 5 0.403733
1 6 -0.403713
2 1 -0.273422
2 2 0.273430
2 3 -0.273401
2 4 0.273319
2 5 -0.273388
2 6 0.273476
3 1 0.129582
3 2 -0.129618
3 3 0.129473
3 4 -0.129237
3 5 0.129209
3 6 -0.129445
4 1 0.036771
4 2 -0.036584
4 3 0.036735
4 4 -0.036922
4 5 0.037090
4 6 -0.036981
5 1 -0.173228
5 2 0.172842
5 3 -0.172921
5 4 0.173124
5 5 -0.173359
5 6 0.173410
6 1 0.241706
6 2 -0.241389
6 3 0.241364
6 4 -0.241443
6 5 0.241599
6 6 -0.241770
7 1 -0.222117
7 2 0.221995
7 3 -0.221782
7 4 0.221568
7 5 -0.221596
7 6 0.221977
8 1 0.119450
8 2 -0.119397
8 3 0.119179
8 4 -0.119019
8 5 0.119039
8 6 -0.119383
9 1 0.027888
9 2 -0.027716
9 3 0.027750
9 4 -0.027776
9 5 0.027878
9 6 -0.027824
10 1 -0.164189
10 2 0.163738
10 3 -0.163702
10 4 0.163911
10 5 -0.164149
10 6 0.164212
11 1 0.236866
11 2 -0.236516
11 3 0.236453
11 4 -0.236575
11 5 0.236736
11 6 -0.236889
12 1 -0.222836
12 2 0.222698
12 3 -0.222486
12 4 0.222286
12 5 -0.222317
12 6 0.222700
13 1 0.125412
13 2 -0.125351
13 3 0.125135
13 4 -0.124980
13 5 0.125015
13 6 -0.125393
14 1 0.020016
14 2 -0.019855
14 3 0.019882
14 4 -0.019883
14 5 0.019952
14 6 -0.019869
15 1 -0.157843
15 2 0.157385
15 3 -0.157337
15 4 0.157529
15 5 -0.157756
15 6 0.157803
16 1 0.234993
16 2 -0.234624
16 3 0.234563
16 4 -0.234705
16 5 0.234874
16 6 -0.235010
17 1 -0.226776
17 2 0.226635
17 3 -0.226431
17 4 0.226249
17 5 -0.226284
17 6 0.226654
18 1 0.134867
18 2 -0.134809
18 3 0.134586
18 4 -0.134415
18 5 0.134452
18 6 -0.134850
19 1 0.008715
19 2 -0.008569
19 3 0.008610
19 4 -0.008609
19 5 0.008664
19 6 -0.008552
20 1 -0.148941
20 2 0.148490
20 3 -0.148441
20 4 0.148619
20 5 -0.148835
20 6 0.148873
21 1 0.232296
21 2 -0.231906
21 3 0.231855
21 4 -0.232017
21 5 0.232197
21 6 -0.232317
22 1 -0.231739
22 2 0.231586
22 3 -0.231396
22 4 0.231239
22 5 -0.231278
22 6 0.231622
23 1 0.147060
23 2 -0.147000
23 3 0.146767
23 4 -0.146574
23 5 0.146596
23 6 -0.147004
24 1 -0.005966
24 2 0.006079
24 3 -0.006007
24 4 0.005979
24 5 -0.005924
24 6 0.006061
25 1 -0.137769
25 2 0.137351
25 3 -0.137314
25 4 0.137488
25 5 -0.137706
25 6 0.137732
26 1 0.230164
26 2 -0.229770
26 3 0.229727
26 4 -0.229912
26 5 0.230102
26 6 -0.230202
27 1 -0.238830
27 2 0.238788
27 3 -0.238726
27 4 0.238723
27 5 -0.238797
27 6 0.239203
28 1 0.164689
28 2 -0.164720
28 3 0.164576
28 4 -0.164446
28 5 0.164396
28 6 -0.164804
29 1 -0.026538
29 2 0.026653
29 3 -0.026503
29 4 0.026316
29 5 -0.026148
29 6 0.026292
30 1 -0.138291
30 2 0.138094
30 3 -0.138139
30 4 0.138388
30 5 -0.138550
30 6 0.138536
31 1 0.277942
31 2 -0.277867
31 3 0.277802
31 4 -0.277879
31 5 0.277905
31 6 -0.277899
32 1 -0.404568
32 2 0.404588
32 3 -0.404545
32 4 0.404515
32 5 -0.404482
32 6 0.404494
