x y charge
1 1 0.971271
1 2 0.971267
1 3 0.971279
1 4 0.971285
1 5 0.971303
1 6 0.971291
2 1 0.905693
2 2 0.905702
2 3 0.905651
2 4 0.905590
2 5 0.905598
2 6 0.905637
3 1 0.841405
3 2 0.841377
3 3 0.841274
3 4 0.841208
3 5 0.841208
3 6 0.841329
4 1 0.825177
4 2 0.825040
4 3 0.825006
4 4 0.825082
4 5 0.825158
4 6 0.825241
5 1 0.865148
5 2 0.864910
5 3 0.864925
5 4 0.865082
5 5 0.865245
5 6 0.865280
6 1 0.906704
6 2 0.906523
6 3 0.906487
6 4 0.906544
6 5 0.906663
6 6 0.906768
7 1 0.894767
7 2 0.894725
7 3 0.894560
7 4 0.894409
7 5 0.894433
7 6 0.894680
8 1 0.845994
8 2 0.845949
8 3 0.845775
8 4 0.845632
8 5 0.845663
8 6 0.845925
9 1 0.827026
9 2 0.826854
9 3 0.826782
9 4 0.826820
9 5 0.826929
9 6 0.827065
10 1 0.863960
10 2 0.863682
10 3 0.863661
10 4 0.863838
10 5 0.864033
10 6 0.864074
11 1 0.905814
11 2 0.905618
11 3 0.905570
11 4 0.905657
11 5 0.905791
11 6 0.905888
12 1 0.896650
12 2 0.896606
12 3 0.896444
12 4 0.896304
12 5 0.896335
12 6 0.896584
13 1 0.848650
13 2 0.848611
13 3 0.848433
13 4 0.848285
13 5 0.848322
13 6 0.848597
14 1 0.826987
14 2 0.826820
14 3 0.826741
14 4 0.826766
14 5 0.826871
14 6 0.827019
15 1 0.861573
15 2 0.861290
15 3 0.861262
15 4 0.861433
15 5 0.861625
15 6 0.861667
16 1 0.905020
16 2 0.904812
16 3 0.904767
16 4 0.904867
16 5 0.905010
16 6 0.905096
17 1 0.899627
17 2 0.899580
17 3 0.899426
17 4 0.899300
17 5 0.899336
17 6 0.899576
18 1 0.852489
18 2 0.852458
18 3 0.852277
18 4 0.852122
18 5 0.852156
18 6 0.852438
19 1 0.826952
19 2 0.826798
19 3 0.826713
19 4 0.826723
19 5 0.826821
19 6 0.826979
20 1 0.858081
20 2 0.857802
20 3 0.857771
20 4 0.857933
20 5 0.858120
20 6 0.858164
21 1 0.903483
21 2 0.903262
21 3 0.903224
21 4 0.903339
21 5 0.903489
21 6 0.903563
22 1 0.903145
22 2 0.903086
22 3 0.902945
22 4 0.902838
22 5 0.902878
22 6 0.903101
23 1 0.857497
23 2 0.857471
23 3 0.857289
23 4 0.857126
23 5 0.857153
23 6 0.857434
24 1 0.827169
24 2 0.827031
24 3 0.826941
24 4 0.826934
24 5 0.827024
24 6 0.827190
25 1 0.853595
25 2 0.853330
25 3 0.853302
25 4 0.853457
25 5 0.853638
25 6 0.853684
26 1 0.901127
26 2 0.900898
26 3 0.900870
26 4 0.901003
26 5 0.901159
26 6 0.901219
27 1 0.906704
27 2 0.906644
27 3 0.906557
27 4 0.906523
27 5 0.906571
27 6 0.906780
28 1 0.863064
28 2 0.863025
28 3 0.862875
28 4 0.862723
28 5 0.862703
28 6 0.862920
29 1 0.826324
29 2 0.826213
29 3 0.826117
29 4 0.826028
29 5 0.826046
29 6 0.826154
30 1 0.846043
30 2 0.845920
30 3 0.845916
30 4 0.845984
30 5 0.846084
30 6 0.846105
31 1 0.910068
31 2 0.910032
31 3 0.910029
31 4 0.910093
31 5 0.910143
31 6 0.910133
32 1 0.972885
32 2 0.972898
32 3 0.972881
32 4 0.972874
32 5 0.972861
32 6 0.972864
