x1 y1 x2 y2 pair
1 1 2 1 -1.730562e-01
1 1 1 2 1.053304e-01
2 1 3 1 -2.106107e-02
2 1 2 2 4.993319e-02
3 1 4 1 -2.020797e-02
3 1 3 2 2.195185e-02
4 1 5 1 -2.020983e-02
4 1 4 2 2.127040e-02
5 1 6 1 -1.714585e-02
5 1 5 2 1.973745e-02
6 1 7 1 -1.593289e-02
6 1 6 2 1.768070e-02
7 1 8 1 -1.005505e-02
7 1 7 2 1.333166e-02
8 1 9 1 -9.310345e-03
8 1 8 2 9.858915e-03
9 1 10 1 -1.010712e-02
9 1 9 2 9.887668e-03
10 1 11 1 -1.601472e-02
10 1 10 2 1.340303e-02
11 1 12 1 -1.723256e-02
11 1 11 2 1.777711e-02
12 1 13 1 -2.027243e-02
12 1 12 2 1.983054e-02
13 1 14 1 -2.023676e-02
13 1 13 2 2.133199e-02
14 1 15 1 -2.106770e-02
14 1 14 2 2.197968e-02
15 1 16 1 -1.730426e-01
15 1 15 2 4.993297e-02
16 1 16 2 1.053337e-01
1 2 2 2 -1.730569e-01
1 2 1 3 1.053510e-01
2 2 3 2 -2.106074e-02
2 2 2 3 4.994863e-02
3 2 4 2 -2.020801e-02
3 2 3 3 2.200527e-02
4 2 5 2 -2.020965e-02
4 2 4 3 2.130043e-02
5 2 6 2 -1.714589e-02
5 2 5 3 1.976623e-02
6 2 7 2 -1.593523e-02
6 2 6 3 1.770561e-02
7 2 8 2 -1.005845e-02
7 2 7 3 1.335419e-02
8 2 9 2 -9.314461e-03
8 2 8 3 9.890331e-03
9 2 10 2 -1.011126e-02
9 2 9 3 9.916925e-03
10 2 11 2 -1.601956e-02
10 2 10 3 1.342928e-02
11 2 12 2 -1.723515e-02
11 2 11 3 1.780061e-02
12 2 13 2 -2.027464e-02
12 2 12 3 1.984768e-02
13 2 14 2 -2.023921e-02
13 2 13 3 2.135087e-02
14 2 15 2 -2.106724e-02
14 2 14 3 2.201411e-02
15 2 16 2 -1.730409e-01
15 2 15 3 4.994246e-02
16 2 16 3 1.053452e-01
1 3 2 3 -1.730566e-01
1 3 1 4 1.053301e-01
2 3 3 3 -2.106078e-02
2 3 2 4 4.993269e-02
3 3 4 3 -2.020697e-02
3 3 3 4 2.194965e-02
4 3 5 3 -2.021190e-02
4 3 4 4 2.127284e-02
5 3 6 3 -1.714924e-02
5 3 5 4 1.974487e-02
6 3 7 3 -1.593724e-02
6 3 6 4 1.768594e-02
7 3 8 3 -1.006152e-02
7 3 7 4 1.333781e-02
8 3 9 3 -9.320741e-03
8 3 8 4 9.866698e-03
9 3 10 3 -1.011612e-02
9 3 9 4 9.895814e-03
10 3 11 3 -1.602581e-02
10 3 10 4 1.341167e-02
11 3 12 3 -1.723854e-02
11 3 11 4 1.778359e-02
12 3 13 3 -2.027465e-02
12 3 12 4 1.983023e-02
13 3 14 3 -2.024202e-02
13 3 13 4 2.133242e-02
14 3 15 3 -2.106821e-02
14 3 14 4 2.198308e-02
15 3 16 3 -1.730420e-01
15 3 15 4 4.993377e-02
16 3 16 4 1.053215e-01
1 4 2 4 -1.730569e-01
2 4 3 4 -2.106063e-02
3 4 4 4 -2.020580e-02
4 4 5 4 -2.021241e-02
5 4 6 4 -1.715162e-02
6 4 7 4 -1.593915e-02
7 4 8 4 -1.006619e-02
8 4 9 4 -9.321587e-03
9 4 10 4 -1.011936e-02
10 4 11 4 -1.602876e-02
11 4 12 4 -1.724085e-02
12 4 13 4 -2.027629e-02
13 4 14 4 -2.024147e-02
14 4 15 4 -2.106867e-02
15 4 16 4 -1.730406e-01
