x y charge
1 1 0.897023
1 2 0.897025
1 3 0.897023
1 4 0.897025
2 1 0.897972
2 2 0.897974
2 3 0.897969
2 4 0.897979
3 1 0.891837
3 2 0.891842
3 3 0.891837
3 4 0.891841
4 1 0.876012
4 2 0.876013
4 3 0.875998
4 4 0.875997
5 1 0.849646
5 2 0.849629
5 3 0.849602
5 4 0.849590
6 1 0.857747
6 2 0.857742
6 3 0.857726
6 4 0.857727
7 1 0.860570
7 2 0.860571
7 3 0.860567
7 4 0.860579
8 1 0.870606
8 2 0.870617
8 3 0.870629
8 4 0.870649
9 1 0.870575
9 2 0.870584
9 3 0.870606
9 4 0.870628
10 1 0.860419
10 2 0.860420
10 3 0.860427
10 4 0.860432
11 1 0.857502
11 2 0.857499
11 3 0.857504
11 4 0.857506
12 1 0.849228
12 2 0.849224
12 3 0.849227
12 4 0.849230
13 1 0.875820
13 2 0.875819
13 3 0.875835
13 4 0.875831
14 1 0.891814
14 2 0.891811
14 3 0.891817
14 4 0.891814
15 1 0.898036
15 2 0.898032
15 3 0.898038
15 4 0.898034
16 1 0.897069
16 2 0.897067
16 3 0.897070
16 4 0.897067
