x y spin
1 1 0.181774
1 2 -0.181717
1 3 0.181743
1 4 -0.181764
1 5 0.181823
1 6 -0.181842
2 1 -0.150279
2 2 0.150197
2 3 -0.150184
2 4 0.150117
2 5 -0.150230
2 6 0.150350
3 1 0.033936
3 2 -0.033924
3 3 0.033852
3 4 -0.033777
3 5 0.033760
3 6 -0.033880
4 1 0.082071
4 2 -0.081811
4 3 0.081923
4 4 -0.082095
4 5 0.082374
4 6 -0.082350
5 1 -0.187233
5 2 0.186798
5 3 -0.185309
5 4 0.185677
5 5 -0.186007
5 6 0.186156
6 1 0.225251
6 2 -0.225194
6 3 0.225224
6 4 -0.225339
6 5 0.225502
6 6 -0.225793
7 1 -0.181657
7 2 0.181700
7 3 -0.181614
7 4 0.181544
7 5 -0.181621
7 6 0.182015
8 1 0.069237
8 2 -0.069214
8 3 0.069165
8 4 -0.069201
8 5 0.069217
8 6 -0.069399
9 1 0.069047
9 2 -0.068944
9 3 0.068988
9 4 -0.069027
9 5 0.069165
9 6 -0.069284
10 1 -0.181565
10 2 0.181386
10 3 -0.181463
10 4 0.181697
10 5 -0.181950
10 6 0.182118
11 1 0.225306
11 2 -0.225274
11 3 0.225287
11 4 -0.225355
11 5 0.225504
11 6 -0.225823
12 1 -0.185611
12 2 0.185693
12 3 -0.185546
12 4 0.185355
12 5 -0.185348
12 6 0.185868
13 1 0.081607
13 2 -0.081687
13 3 0.081483
13 4 -0.081370
13 5 0.081292
13 6 -0.081582
14 1 0.033665
14 2 -0.033572
14 3 0.033599
14 4 -0.033681
14 5 0.033769
14 6 -0.033798
15 1 -0.149778
15 2 0.149667
15 3 -0.149563
15 4 0.149637
15 5 -0.149657
15 6 0.149732
16 1 0.181179
16 2 -0.181153
16 3 0.181102
16 4 -0.181091
16 5 0.181067
16 6 -0.181113
