x y charge
1 1 0.931090
1 2 0.931129
1 3 0.931118
1 4 0.931069
1 5 0.931060
1 6 0.931045
2 1 0.874158
2 2 0.874168
2 3 0.874021
2 4 0.873866
2 5 0.873827
2 6 0.873963
3 1 0.834652
3 2 0.834535
3 3 0.834419
3 4 0.834389
3 5 0.834436
3 6 0.834615
4 1 0.840265
4 2 0.840007
4 3 0.840039
4 4 0.840256
4 5 0.840472
4 6 0.840528
5 1 0.888734
5 2 0.888469
5 3 0.888327
5 4 0.888551
5 5 0.888773
5 6 0.888810
6 1 0.912845
6 2 0.912771
6 3 0.912706
6 4 0.912711
6 5 0.912797
6 6 0.912944
7 1 0.882202
7 2 0.882190
7 3 0.882020
7 4 0.881852
7 5 0.881846
7 6 0.882071
8 1 0.837054
8 2 0.836948
8 3 0.836792
8 4 0.836681
8 5 0.836695
8 6 0.836849
9 1 0.836857
9 2 0.836650
9 3 0.836589
9 4 0.836652
9 5 0.836769
9 6 0.836836
10 1 0.881895
10 2 0.881680
10 3 0.881700
10 4 0.881887
10 5 0.882080
10 6 0.882118
11 1 0.912764
11 2 0.912673
11 3 0.912635
11 4 0.912681
11 5 0.912796
11 6 0.912927
12 1 0.888723
12 2 0.888723
12 3 0.888536
12 4 0.888342
12 5 0.888315
12 6 0.888587
13 1 0.840703
13 2 0.840628
13 3 0.840394
13 4 0.840162
13 5 0.840114
13 6 0.840345
14 1 0.834741
14 2 0.834544
14 3 0.834469
14 4 0.834476
14 5 0.834575
14 6 0.834672
15 1 0.873956
15 2 0.873813
15 3 0.873850
15 4 0.874011
15 5 0.874160
15 6 0.874149
16 1 0.931034
16 2 0.931049
16 3 0.931060
16 4 0.931112
16 5 0.931123
16 6 0.931082
