x y spin
1 1 -0.214080
1 2 0.180491
1 3 -0.064604
1 4 -0.004713
1 5 0.121477
1 6 -0.177910
1 7 0.204498
2 1 0.237597
2 2 -0.197185
2 3 0.178145
2 4 0.078550
2 5 -0.118621
2 6 0.221240
2 7 -0.247571
3 1 -0.231661
3 2 0.214821
3 3 -0.095391
3 4 0.059505
3 5 0.183009
3 6 -0.191133
3 7 0.229531
4 1 0.271868
4 2 -0.221199
4 3 0.158817
4 4 -0.012627
4 5 -0.058634
4 6 0.243640
4 7 -0.274620
5 1 -0.258781
5 2 0.212842
5 3 -0.123528
5 4 0.040339
5 5 0.089755
5 6 -0.174086
5 7 0.251113
6 1 0.243780
6 2 -0.196403
6 3 0.114969
6 4 -0.013645
6 5 -0.079729
6 6 0.170950
6 7 -0.235817
7 1 -0.250351
7 2 0.193819
7 3 -0.104688
7 4 0.007445
7 5 0.089585
7 6 -0.180790
7 7 0.242337
8 1 0.243866
8 2 -0.191592
8 3 0.102040
8 4 -0.003683
8 5 -0.093349
8 6 0.179820
8 7 -0.239172
9 1 -0.242593
9 2 0.187886
9 3 -0.102541
9 4 0.004013
9 5 0.093958
9 6 -0.183109
9 7 0.239347
10 1 0.243473
10 2 -0.189590
10 3 0.103463
10 4 -0.006641
10 5 -0.095256
10 6 0.184377
10 7 -0.244056
11 1 -0.232592
11 2 0.177941
11 3 -0.094783
11 4 0.000709
11 5 0.091509
11 6 -0.175785
11 7 0.232605
12 1 0.230027
12 2 -0.175546
12 3 0.086850
12 4 0.004564
12 5 -0.094452
12 6 0.167048
12 7 -0.235826
13 1 -0.250811
13 2 0.157028
13 3 -0.083775
13 4 -0.003782
13 5 0.094948
13 6 -0.218998
13 7 0.257947
14 1 0.222166
14 2 -0.204938
14 3 0.078088
14 4 0.014080
14 5 -0.155271
14 6 0.174175
14 7 -0.217477
15 1 -0.224696
15 2 0.177059
15 3 -0.206699
15 4 -0.112830
15 5 0.126338
15 6 -0.214503
15 7 0.234372
16 1 0.189608
16 2 -0.166737
16 3 0.086579
16 4 -0.038187
16 5 -0.153178
16 6 0.163535
16 7 -0.204039
