x y spin
1 1 -0.406871
1 2 0.400254
1 3 -0.397982
1 4 0.409648
2 1 0.298154
2 2 -0.309064
2 3 0.292984
2 4 -0.304330
3 1 -0.219734
3 2 0.247476
3 3 -0.200255
3 4 0.213164
4 1 0.138533
4 2 -0.104854
4 3 0.129128
4 4 -0.145936
5 1 -0.077905
5 2 0.017375
5 3 -0.055795
5 4 0.056023
6 1 0.004515
6 2 0.026535
6 3 0.014820
6 4 -0.031804
7 1 0.043359
7 2 -0.061247
7 3 0.037714
7 4 -0.047160
8 1 -0.110109
8 2 0.094044
8 3 -0.100969
8 4 0.137378
9 1 0.173404
9 2 -0.204274
9 3 0.193561
9 4 -0.175195
10 1 -0.177567
10 2 0.190233
10 3 -0.210253
10 4 0.184169
11 1 0.143861
11 2 -0.180600
11 3 0.150465
11 4 -0.128350
12 1 -0.083960
12 2 0.088767
12 3 -0.096863
12 4 0.130029
13 1 0.058629
13 2 -0.050098
13 3 0.072706
13 4 -0.068036
14 1 0.007444
14 2 0.036668
14 3 -0.016998
14 4 0.032868
15 1 -0.050505
15 2 0.001016
15 3 -0.025253
15 4 0.032962
16 1 0.077379
16 2 -0.034166
16 3 0.071718
16 4 -0.070690
17 1 -0.066925
17 2 0.088423
17 3 -0.067283
17 4 0.071081
18 1 0.078967
18 2 -0.071331
18 3 0.079592
18 4 -0.065391
19 1 -0.062252
19 2 0.077785
19 3 -0.089236
19 4 0.058535
20 1 0.068228
20 2 -0.063250
20 3 0.032681
20 4 -0.039689
21 1 -0.057169
21 2 0.067702
21 3 -0.042341
21 4 0.054286
22 1 0.036921
22 2 -0.048595
22 3 0.007364
22 4 -0.060440
23 1 -0.033110
23 2 0.030274
23 3 -0.045675
23 4 0.042458
24 1 0.003931
24 2 -0.037341
24 3 0.024658
24 4 -0.057687
25 1 -0.015845
25 2 0.014875
25 3 -0.010178
25 4 0.025905
26 1 -0.019199
26 2 0.001319
26 3 -0.042515
26 4 0.008263
27 1 0.060437
27 2 -0.021793
27 3 0.024459
27 4 -0.009026
28 1 -0.041877
28 2 0.045836
28 3 -0.038372
28 4 0.045724
29 1 0.037564
29 2 -0.053569
29 3 0.061907
29 4 -0.063851
30 1 -0.120066
30 2 0.105093
30 3 -0.090142
30 4 0.078605
31 1 0.120295
31 2 -0.138266
31 3 0.131729
31 4 -0.115668
32 1 -0.118937
32 2 0.112833
32 3 -0.126256
32 4 0.133614
33 1 0.071575
33 2 -0.084111
33 3 0.095304
33 4 -0.080925
34 1 -0.036107
34 2 0.032352
34 3 -0.031556
34 4 0.071283
35 1 -0.005694
35 2 -0.012838
35 3 0.007879
35 4 0.004072
36 1 0.048613
36 2 -0.040475
36 3 0.058947
36 4 -0.045454
37 1 -0.128603
37 2 0.101544
37 3 -0.113784
37 4 0.123855
38 1 0.249060
38 2 -0.240381
38 3 0.199267
38 4 -0.201158
39 1 -0.322827
39 2 0.322712
39 3 -0.326205
39 4 0.325274
40 1 0.414757
40 2 -0.407120
40 3 0.409098
40 4 -0.416589
