x y spin
1 1 0.368347
1 2 -0.367847
2 1 -0.297538
2 2 0.297399
3 1 0.066366
3 2 -0.066362
4 1 0.233153
4 2 -0.233818
5 1 -0.375004
5 2 0.374990
