x1 y1 x2 y2 pair
1 1 2 1 1.848624e-04
1 1 1 2 8.276066e-06
1 2 2 2 -1.570909e-05
2 1 3 1 3.181917e-05
2 1 2 2 -1.413922e-04
2 2 3 2 3.490842e-04
3 1 4 1 -7.596106e-05
3 1 3 2 -2.294335e-05
3 2 4 2 -2.627655e-04
4 1 5 1 1.175377e-05
4 1 4 2 -1.244235e-05
4 2 5 2 3.393144e-04
5 1 6 1 1.789990e-04
5 1 5 2 -1.348013e-04
5 2 6 2 -6.592377e-06
6 1 6 2 3.709002e-06
